nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run01
Best model: selfplay_run01/models/best_model.pt
Replay buffer: selfplay_run01/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 5000
  Batch size: 256
  Learning rate: 0.0001
  Evaluation games: 40
  Win threshold: 55%
  Self-play simulations: 400
  Eval simulations: 400
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 200
  Parallel self-play workers: 24
================================================================================


================================================================================
ITERATION 1/50
================================================================================

[1/4] Generating 1000 self-play games...
Generating 1000 self-play games...
MCTS config: simulations=400, batch=128, cpuct=2.0
Parallel workers: 24
Output: selfplay_run01/selfplay_games/iteration_0000.csv

[249/1000] Game 247: 1/2-1/2, 111 positions, 10.8s, 10.2 moves/s
[250/1000] Game 258: 1-0, 79 positions, 7.6s, 10.4 moves/s
[251/1000] Game 257: 1-0, 81 positions, 8.0s, 10.2 moves/s
[252/1000] Game 252: 1/2-1/2, 96 positions, 9.7s, 9.9 moves/s
[253/1000] Game 256: 1/2-1/2, 91 positions, 8.7s, 10.4 moves/s
[254/1000] Game 259: 0-1, 90 positions, 9.0s, 9.9 moves/s
[255/1000] Game 255: 0-1, 74 positions, 9.4s, 7.9 moves/s
[256/1000] Game 254: 0-1, 116 positions, 10.8s, 10.7 moves/s
[257/1000] Game 253: 1/2-1/2, 119 positions, 11.3s, 10.5 moves/s
[258/1000] Game 245: 1/2-1/2, 166 positions, 15.6s, 10.6 moves/s
[259/1000] Game 268: 1-0, 49 positions, 5.9s, 8.3 moves/s
[260/1000] Game 250: 1/2-1/2, 155 positions, 14.7s, 10.6 moves/s
[261/1000] Game 262: 1/2-1/2, 58 positions, 8.4s, 6.9 moves/s
[262/1000] Game 265: 1-0, 73 positions, 7.7s, 9.5 moves/s
[263/1000] Game 269: 0-1, 84 positions, 7.7s, 10.9 moves/s
[264/1000] Game 270: 0-1, 74 positions, 7.8s, 9.5 moves/s
[265/1000] Game 271: 0-1, 66 positions, 7.3s, 9.1 moves/s
[266/1000] Game 264: 1/2-1/2, 65 positions, 8.9s, 7.3 moves/s
[267/1000] Game 261: 1/2-1/2, 123 positions, 11.2s, 10.9 moves/s
[268/1000] Game 267: 1/2-1/2, 94 positions, 10.6s, 8.8 moves/s
[269/1000] Game 266: 0-1, 92 positions, 11.1s, 8.3 moves/s
[270/1000] Game 282: 1-0, 45 positions, 5.1s, 8.9 moves/s
[271/1000] Game 272: 1/2-1/2, 102 positions, 9.9s, 10.3 moves/s
[272/1000] Game 280: 1/2-1/2, 65 positions, 6.9s, 9.5 moves/s
[273/1000] Game 273: 0-1, 120 positions, 10.9s, 11.0 moves/s
[274/1000] Game 263: 0-1, 142 positions, 13.9s, 10.2 moves/s
[275/1000] Game 284: 0-1, 72 positions, 7.7s, 9.3 moves/s
[276/1000] Game 274: 0-1, 92 positions, 10.9s, 8.4 moves/s
[277/1000] Game 276: 1/2-1/2, 82 positions, 10.4s, 7.9 moves/s
[278/1000] Game 289: 0-1, 74 positions, 7.4s, 10.0 moves/s
[279/1000] Game 285: 1-0, 79 positions, 8.4s, 9.4 moves/s
[280/1000] Game 277: 0-1, 122 positions, 11.0s, 11.1 moves/s
[281/1000] Game 278: 1/2-1/2, 87 positions, 10.6s, 8.2 moves/s
[282/1000] Game 260: 1/2-1/2, 172 positions, 18.9s, 9.1 moves/s
[283/1000] Game 275: 1/2-1/2, 103 positions, 12.1s, 8.5 moves/s
[284/1000] Game 290: 1-0, 99 positions, 7.9s, 12.5 moves/s
[285/1000] Game 279: 1-0, 97 positions, 11.4s, 8.5 moves/s
[286/1000] Game 286: 1/2-1/2, 104 positions, 10.1s, 10.3 moves/s
[287/1000] Game 292: 1/2-1/2, 64 positions, 6.8s, 9.5 moves/s
[288/1000] Game 293: 0-1, 84 positions, 6.8s, 12.4 moves/s
[289/1000] Game 291: 1-0, 85 positions, 8.6s, 9.8 moves/s
[290/1000] Game 283: 0-1, 112 positions, 12.9s, 8.7 moves/s
[291/1000] Game 294: 0-1, 82 positions, 8.2s, 10.0 moves/s
[292/1000] Game 287: 1-0, 95 positions, 11.4s, 8.3 moves/s
[293/1000] Game 288: 1-0, 99 positions, 11.5s, 8.6 moves/s
[294/1000] Game 281: 1-0, 131 positions, 13.9s, 9.4 moves/s
[295/1000] Game 306: 1/2-1/2, 56 positions, 4.2s, 13.3 moves/s
[296/1000] Game 311: 1/2-1/2, 57 positions, 4.3s, 13.3 moves/s
[297/1000] Game 298: 1-0, 93 positions, 8.8s, 10.6 moves/s
[298/1000] Game 305: 0-1, 54 positions, 6.2s, 8.7 moves/s
[299/1000] Game 296: 1/2-1/2, 112 positions, 9.8s, 11.4 moves/s
[300/1000] Game 295: 1-0, 129 positions, 11.8s, 10.9 moves/s
[301/1000] Game 302: 0-1, 80 positions, 8.3s, 9.6 moves/s
[302/1000] Game 304: 1/2-1/2, 94 positions, 9.0s, 10.4 moves/s
[303/1000] Game 307: 1-0, 117 positions, 9.1s, 12.9 moves/s
[304/1000] Game 309: 1-0, 95 positions, 9.2s, 10.3 moves/s
